Species,Spawning,RepGuild1,RepGuild2,AddInfos
Hemiodus sterni,NA,guarders,nesters,Distinct pairing (Ref. 205).
Hemitilapia oxyrhynchus,NA,bearers,external brooders,Female is moutbrooder.
Hepsetus odoe,NA,guarders,nesters,Builds a free-floating bubblenest.
Heros severus,NA,bearers,external brooders,Up to 200 eggs are deposited on stones or roots and defended by both parents: larvae are taken into the mouth. Parental care can last up to 6 weeks (Ref. 40602).
Heteropneustes fossilis,NA,guarders,nesters,"Eggs are deposited in a depression usually excavated by both parents in mud, in shallow water. Parents guard the eggs and young until they can fend for themselves which lasts for about one month (Ref. 6028)."
Heterotis niloticus,one clear seasonal peak per year,guarders,nesters,"Breeds in the wet season in swamps and floodplains (Ref. 28714), building a circular nest about 1 m in diameter and 20 to 60 cm deep (Ref. 26281). The rim of the nest is a high wall formed out of plant chunks, about 15-20 cm thick and projecting above the water surface; the bottom is a clean platform of clay or mud; after spawning the fish leave by way of a hole in the wall through which, 5 days later, the young leave the nest and are guarded by the male (Ref. 26281). Also Ref. 3074, 10609, 36900."
Hexagrammos agrammus,one clear seasonal peak per year,guarders,Nesters,NA
Hexagrammos octogrammus,NA,guarders,NA,NA
Hippocampus guttulatus,one clear seasonal peak per year,bearers,external brooders,"Ovoviviparous. During the mating season, mature males and females have been observed to change hue, i.e., become brighter, when courting (Refs. 52034, 89259). Female deposits her eggs on the brood pouch of the male which is found under the tail (Ref. 205). Gestation usually lasts 21 days (Ref. 89322) and brood sizes up to 581 have been reported (Refs. 53712, 79902, 89322). Young are expelled from the pouch measuring 1.5 cm after 3 weeks of incubation. Size at birth ranges from 0.6-1.4 cm length (Ref. 79902). Newly hatched young are planktonic for at least 8 weeks (Ref. 53712). "
Hippoglossus hippoglossus,NA,nonguarders,open water/substratum egg scatterers,"Males reach sexual maturity at 7-8 years and females at 10-11 years. Spawning happens from December to April, near the bottom (300 to 700 m), at temperatures between 5 and 7°. Egg size 3.0-3.8, larval size at hatching 6.5 mm (Ref. 4705)."
Hoplias malabaricus,NA,guarders,nesters,"Eggs are fertilized in the cupped anal fin of the female. When the eggs get sticky, they are dropped into a pit which will be guarded by the male even until after the eggs have hatched (Ref. 205)."
Huso huso,NA,nonguarders,open water/substratum egg scatterers,"Enters rivers from March, usually April and May (also in autumn). Survives largely by artificial propagation. About 360,000-7,700,000 eggs per female. Females carry eggs only once every five to seven years (Ref. 9988)."
Hydrolagus colliei,"throughout the year, but peaking once",nonguarders,open water/substratum egg scatterers,"Distinct pairing during copulation (Ref. 205). The female extrudes two eggs at a time (each contained in a capsule) and may take up to 30 hours to extrude all her egg cases, which then hang from her body on a long filament for another 4 to 6 days. The egg cases end up planted vertically in the mud or just lying with filaments entangled on the bottom. Females extruding egss can be found year-round (Ref. 28499)."
Hypoatherina valenciennei,NA,NA,NA,"Oviparous, distinct pairing during breeding (Ref. 205)."
Hypomesus japonicus,one clear seasonal peak per year,nonguarders,open water/substratum egg scatterers,Spawn on beaches.
Hypomesus nipponensis,NA,nonguarders,NA,NA
Hyporthodus septemfasciatus,NA,nonguarders,open water/substratum egg scatterers,NA
Hypostomus ancistroides,NA,NA,NA,NA
Hypostomus plecostomus,NA,guarders,clutch tenders,Deposits eggs on smooth rocks. Eggs are guarded by one or both parents. May deposit eggs in depressions (Ref. 2060).
Ictalurus punctatus,NA,guarders,nesters,"Spawning happens, depending on latitude, during the months of April-July, with temperatures between 27-28°C. Females lay their egges on a hole dug on sandy grounds. Incubation lasts 3-8 days, and larval development between 12-16 days, depending on temperature. The pair builds a depression in the ground, which is guarded by the male (Ref. 1672). Channel catfish requires cool water and short day lengths  during the winter months for proper egg development; an egg mass can contain up to 20,000 eggs (Ref. 44091). Sexual maturity is reached at 2-3 years."
Idiacanthus antrostomus,NA,nonguarders,open water/substratum egg scatterers,Oviparous (Ref. 35926).
Iguanodectes spilurus,NA,nonguarders,open water/substratum egg scatterers,Spawns in intervalls (Ref. 1672).
Iniistius pavo,NA,NA,NA,Distinct pairing during breeding (Ref. 205).
Jordanella floridae,NA,guarders,nesters,"Males care for the eggs (Ref. 57667).  Lays up to 100 eggs in the aquarium (Ref. 7020).  The male does a 'T-dance' with a receptive female and the female lays her eggs over algal-covered rocks where they adhere by their sticky thread. In the laboratory, this was simulated by using a green orlon wool wrapped glass plate - males will continuously guard the eggs on this, fanning with their fins to keep eggs clean and aerated (D. Holdway, pers. com 2006)."
Kajikia audax,variable throughout range,nonguarders,open water/substratum egg scatterers,"Females are indeterminate batch spawners with asynchronous oocyte development (Ref. 92477).  Larvae are most abundant in the respective local early summers. The seasonal occurrence of mature females coincides with that of the larvae. The lower temperature limit in the distribution of larvae is approximately 24°C, both in the Indian and Pacific Oceans.
Spawning sites are between 10°S and 30°S in Southwest Pacific and 10°S and 20°S in northeastern Indian Ocean (Ref. 6390)."
Katsuwonus pelamis,variable throughout range,nonguarders,open water/substratum egg scatterers,"In tropical waters, reproductively active female skipjack tuna spawn almost daily."
Konosirus punctatus,one clear seasonal peak per year,nonguarders,open water/substratum egg scatterers,NA
Kryptolebias marmoratus,no obvious seasonal peak,nonguarders,open water/substratum egg scatterers,"Eggs are sometimes fertilized internally by accident via close apposition of gonopores in otherwise oviparous fishes (Ref. 7471). Regarded as a self-fertilizing hermaphrodite (Ref. 6028, 245, 35237). Eggs are 1.6 mm in diameter. Sexes can be distinguished after 8 weeks (Ref. 35237).  Also Ref. 103751."
Kryptopterus bicirrhis,NA,nonguarders,open water/substratum egg scatterers,NA
Labeo rohita,one clear seasonal peak per year,nonguarders,open water/substratum egg scatterers,"Spawns in middle reaches of rivers, where flood water spreads in more or less limpid shallows over fertile flats, well above tidal reaches; also in reservoirs and bundh-type tanks.    "
Labrus bergylta,NA,guarders,nesters,Eggs are laid in nest built from algae; male guards nest 1-2 weeks until larvae hatch (Ref. 35388); larvae are pelagic.
Lagocephalus wheeleri,NA,NA,NA,Oviparous (Ref. 205).
Larimichthys crocea,NA,nonguarders,open water/substratum egg scatterers,NA
Lateolabrax japonicus,one clear seasonal peak per year,nonguarders,open water/substratum egg scatterers,"Males mature at age 2 years, becoming females when older (Ref. 36558).  Juveniles may ascend rivers migrating to the sea to spawn (Ref. 36558)."
Lates calcarifer,NA,nonguarders,open water/substratum egg scatterers,"Breed in estuaries throughout the Indo-Pacific. Maturing male barramundi migrate downstream from freshwater habitats at the start of the wet (monsoon) season to spawn with resident females in estuaries (Ref. 27132) and on tidal flats outside the mouths of rivers (Ref. 6390).
Barramundi spawn on the full moon and new moon, primarily at the beginning of an incoming tide which carries the eggs into the estuary (Ref. 28135).
Barramundi are broadcast spawners that aggregate to spawn (Ref. 6390). Spawning aggregations occur in or around the mouths of rivers (Ref. 28132). While adults and juveniles are capable of living in fresh water, brackish waters are required for embryonic development (Ref. 6136). Female barramundi are capable of producing large numbers of eggs, with estimates as high as 2.3 million eggs per kg of body weight (Ref. 28134).
Barramundi are protandrous hermaphrodites, i.e., they undergo sex reversion during their life cycle. Females are generally absent in the smaller length classes, but dominate larger length classes. Most barramundi mature first as males and function as males for one or more spawning seasons before undergoing sex inversion. A few females will develop directly from immature fish (Ref. 28132). Similarly, some males may never undergo sex inversion (Ref. 28132).  Also Ref. 103751."
Latimeria chalumnae,NA,bearers,internal live bearers,"Despite the lack of an obvious copulatory organ, the reproduction of <i>Latimeria</i> is of the type called ""ovoviviparous"", which means that it has internal fertilisation, and the fetuses are retained within the mother until they have grown large enough (36-38 cm) to fend for themselves.  The eggs are enormous (9 cm in diameter and over 325 g in weight), and the huge yolk supplies all of the nutrients necessary for the growth of the embryo.  In 1975, a large female coelacanth in the American Museum of Natural History was found to contain 5 young in individual compartments of the oviduct (uterus).  They ranged in length from 301 to 327 mm and had well-developed teeth, fins and scales.  Each fetus had a large, flaccid yolk sac attached to its chest.  Dr Peter Forey of The Natural History Museum in London recently dissected one of these fetuses and found a 2 mm wide duct that leads directly from the yolk sac into the anterior part of the intestine.  This yolk duct serves to move yolk from the yolk sac into the intestine where it is digested by the fetus.  The same type of yolk transport into the gut via the yolk duct occurs in pups of ovoviviparous sharks. In some recent publications (Balon et al., 1988; Wourms et al., 1988; Bruton, 1989; Balon, 1991; Wourms et al., 1991) it was suggested (or even stated as a fact) that the reproduction of Latimeria involves ""oophagy"" or ""embryonic cannibalism"" (i.e., that the unborn pups feed on eggs or other siblings while in the uterus).  According to Heemstra and Compagno (1989), there was no evidence to support this ""oophagy"" hypothesis, and Dr Forey's examination of a pup (from the original litter of 5 in the American Museum) found that its intestine was full of yolk (which is what one would expect with a direct connection between yolk sac and intestine) and contained ""no trace of muscle fibres or anything else that might suggest that it had eaten a sib"". Despite the misgivings of Heemstra and Compagno (1989), Wourms et al. (1991) again suggested that ""Oophagy, the ingestion of supernumerary eggs by developing young, may well be the major source of supplemental nutrients for coelacanth pups.""  Speculating from a female that contained 19 ovulated eggs, they calculated that ""19 embryos would occupy 7.0 meters of uterine space in a 2.0 meter fish"" [the implication being that this is physically impossible].  They then concluded that ""At the very most, such a fish could accommodate seven or eight developing embryos, and 11 or 12 eggs would then be superfluous-eggs ... [which] serve as nutrients for the embryos that survive to term"".  Then, in August 1991 a large pregnant female coelacanth, 179 cm long and weighing 98 kg, was caught by a trawler off Pebane on the northern coast of Mozambique (Bruton et al., 1992).  This specimen was given to the natural history museum in Maputo, where it was dissected by the Director, Dr Augusto Cabral, who found that it contained 26 near-term pups, 31-36 cm in length.  Thanks to the discovery and preservation of this Mozambique female, we now know that it is indeed possible for a coelacanth to have at least 26 pups in a litter, and the ""superfluous-eggs"" hypothesis of ""oophagy"" for the coelacanth is itself superfluous. Two pups from the Mozambique specimen were dissected by Heemstra and Greenwood (1992) and found to contain an internal yolk sac, which is the remnant of the large external yolk sac seen on the younger pups from the American Museum specimen.  In the later stages of development, as the yolk supply dwindles, the external yolk sac apparently shrinks and is withdrawn into the body cavity.  Some of the Mozambique pups had a small external yolk sac, and in others there was only a flat scar along the ventral midline to show where the yolk sac had been. In view of the large size (31-36 cm) and advanced development of the pups from the Mozambique female, the size at birth for Latimeria is probably about 35-38 cm (Ref. 38228). Juveniles are born after 13 months (Refs. 26162, 38222) or 3 years (Ref. 30865) of gestation period. Thus, females may give birth only every second or every third year."
Lepadogaster lepadogaster,NA,NA,NA,NA
Lepidocybium flavobrunneum,NA,nonguarders,open water/substratum egg scatterers,NA
Lepidotrigla microptera,NA,nonguarders,open water/substratum egg scatterers,NA
Lepisosteus oculatus,NA,nonguarders,open water/substratum egg scatterers,NA
Lepisosteus osseus,one clear seasonal peak per year,nonguarders,open water/substratum egg scatterers,NA
Lepisosteus platyrhincus,one clear seasonal peak per year,nonguarders,NA,"Observed presence of two distinct waves of developing oocytes in a study indicates a group-synchronous ovary in this species, thus, subsequent spawning during the same breeding season may occur though unverifiable in the same study (Ref. 57432)."
Lepomis cyanellus,NA,guarders,nesters,NA
Lepomis macrochirus,NA,guarders,nesters,Males guard the eggs for about 7 days (Ref. 93240).
Leporinus fasciatus,NA,guarders,nesters,Oviparous.  Distinct pairs breed on densely grown weedy places (Ref. 205).  Males tend to stay where the nests are located (Ref. 205).
Lipolagus ochotensis,NA,nonguarders,NA,Oviparous (Ref. 35604).
Leuciscus idus,one clear seasonal peak per year,nonguarders,open water/substratum egg scatterers,"""Females spawn only once each season.  Individual females spawn with several males. Males assemble at spawning grounds and follow ripe females.  Females attach the sticky eggs to gravel or submerged plant material"" (Ref. 59043)."
Leucopsarion petersii,NA,guarders,nesters,Females spawn in nests under stones (Ref. 101248).  The egg clusters are cared for by a male until hatching (Ref. 101248).
Lophius litulon,one clear seasonal peak per year,nonguarders,open water/substratum egg scatterers,NA
Luciocephalus pulcher,NA,bearers,external brooders,Males are mouthbrooding for about 30 days.
Macrognathus aculeatus,NA,nonguarders,open water/substratum egg scatterers,Produces a minimum of 1000 eggs (Ref. 1672).
Macropodus opercularis,NA,guarders,nesters,"The species is a bubble-nest builder; the male swims to the surface, draws a little air into his mouth and envelops it in a film of saliva thereby forming bubbles; upon building the nest, the male drives the female towards it; female spawns then male follows; male picks up the fertilized eggs in his mouth and pushes one by one into each bubble of the nest; male guards eggs until hatching (Ref. 5258). Produces up to 500 eggs (Ref. 1672)."
Malapterurus electricus,one clear seasonal peak per year,guarders,clutch tenders,It is assumed that the male tends the clutch. Others report that the male takes the eggs into his mouth. It is also unknown how the fry is immune to the electric shocks by the parents (Ref. 1672).
Marosatherina ladigesi,NA,nonguarders,brood hiders,A partial spawner based on the different stages of oocyte development in the ovaries (Ref. 93617).
Mastacembelus erythrotaenia,NA,nonguarders,NA,NA
Mazarunia mazarunii,NA,guarders,clutch tenders,Both parents tend the clutch. Larvae are often deposited in little holes in the roots.
Melanochromis auratus,NA,bearers,external brooders,Lays up to 40 eggs. Female takes brood into her mouth and takes care of the young.
Merlangius merlangus,variable throughout range,nonguarders,open water/substratum egg scatterers,"Oviparous, sexes are separate (Ref. 205)."
Mikrogeophagus ramirezi,NA,guarders,clutch tenders,Female cares for eggs and larvae (Ref. 47893. 
Metynnis hypsauchen,NA,nonguarders,open water/substratum egg scatterers,"Often spawns in schools, preferable near the surface. Does not eat its eggs, which hatch after 3 days."
Metynnis lippincottianus,NA,nonguarders,open water/substratum egg scatterers,Assumed to be like <i>Metynnis hypsauchen</i>.
Micropterus salmoides,NA,guarders,nesters,"The male which becomes aggressive and territorial  builds the nest on  muddy bottoms of shallow water.  A female may spawn with several males on different nests. The male guards and fans the eggs for about 29 days (Ref. 93240). Spawning takes place spring to summer or when temperature reaches 15°C. Adults mate between the age of 5-12 years (Ref. 11243). Also Ref, 88808)."
Mystus bleekeri,NA,NA,NA,NA
Misgurnus anguillicaudatus,one clear seasonal peak per year,nonguarders,open water/substratum egg scatterers,"Male wraps his body around the female and stimulates her to release a cloud of eggs, which the male simultaneously fertilizes (Ref. 44091)."
Monodactylus argenteus,NA,nonguarders,NA,NA
Monopterus albus,NA,guarders,nesters,Male builds a large free-floating bubblenest among the submerged vegetation close to the shoreline; eggs are spat into the nest after being laid; male guards the nest and continues to guard the young after hatching till they are on their own (Ref. 44091). Spawning occurs  in shallow water (Ref. 2060). Sex reversal is completed in 8-30 weeks (Ref. 34260).
Monopterus cuchia,NA,guarders,nesters,The male guards and builds nest or burrow (Ref. 205).
Mormyrus kannume,NA,NA,NA,NA
Mugil cephalus,one clear seasonal peak per year,nonguarders,open water/substratum egg scatterers,"One spawning aggregation was observed in detail. This consisted of five fish, a female and four males. Males would press against the female, which took place as the entire group moved along slowly, facing into a fairly strong tidal flow."
Muraenolepis microps,NA,nonguarders,open water/substratum egg scatterers,NA
Mustelus manazo,NA,bearers,internal live bearers,"Ovoviviparous, embryos feed solely on yolk (Ref. 50449), with 1 to 22 (Ref.58048 reports 5-14)young in a litter. Gestation period takes about 10 months (Ref. 244) or 11-12 months (Ref. 28055). Young born in spring.  Distinct pairing with embrace (Ref. 205)."
Myloplus rubripinnis,NA,nonguarders,open water/substratum egg scatterers,"The red hooked anal fin of the female is actually a plough.  The male has a bilobed anal fin which is designed to wrap around the female's ""hook"".  During spawning, the female inserts the hook into the substrate (e.g., gravel) and ploughs a furrow while laying the eggs with the male in a position next to her with his bi-lobed fin wrapped around the hook as he fertilises the eggs.  The female's ""hook"" is suprisingly strong and can be pushed into coarse gravel (up to the anal opening) without any problem with a shaking body action, the male's bilobed hook folds under the same pressure so they can work in unison (Ref. 55767)."
Myoxocephalus scorpius,NA,guarders,clutch tenders,Eggs are deposited in a clutch on the bottom and defended by the male. Larvae hatch after about 5 weeks.
Mystus cavasius,NA,NA,NA,NA
Mystus gulio,"throughout the year, but peaking once",NA,NA,NA
Mystus tengara,NA,NA,NA,NA
Myxine glutinosa,no obvious seasonal peak,nonguarders,NA,"Copulatory organ absent. The gonads of hagfishes are situated in the peritoneal cavity. The ovary is found in the anterior portion of the gonad, and the testis is found in the posterior part. The animal becomes female if the cranial part of the gonad develops or male if the caudal part undergoes differentiation. If none develops, then the animal becomes sterile. If both anterior and posterior parts develop, then the animal becomes a functional hermaphrodite. However, hermaphroditism being characterised as functional needs to be validated by more reproduction studies (Ref. 51361 ).  Probably breed throughout the year in deep water (Ref. 35388)."
Nandus nandus,NA,nonguarders,open water/substratum egg scatterers,Produces up to 300 eggs.
Nannostomus beckfordi,NA,nonguarders,open water/substratum egg scatterers,"At spawning time in captivity, male and female swim alongside one another. Several batches of 1 to 5 eggs are laid among the fine-leaved plants, with a total of up to 200 eggs in some cases; eggs hatch in 30 to 40 hours and fry are free-swimming about six days after (Ref. 7020). Between 24°-27°C, eggs hatch in 24 hours (Ref. 205)."
Nothobranchius palmqvisti,NA,nonguarders,brood hiders,Produces up to 200 eggs which are hidden in the substrate.
Neogobius melanostomus,no obvious seasonal peak,guarders,clutch tenders,Males protect embryos and juveniles (Ref. 36771). Males die after the spawning season (Ref. 36771).
Neolamprologus brichardi,NA,guarders,clutch tenders,NA
Nimbochromis venustus,NA,bearers,external brooders,Female takes brood into her mouth and takes care of the young.
Nipponocypris temminckii,one clear seasonal peak per year,nonguarders,brood hiders,Fish gather in shallow parts of rivers for spawning. A male presses laterally against a female and stirs up the river bed by vibrating his anal fin to bury released eggs. Satellites commonly cannibalize eggs (Ref. 5514).    
Nothobranchius furzeri,one clear seasonal peak per year,nonguarders,open water/substratum egg scatterers,Annual fishes. This updates previous information from Ref. 2060. Before their seasonal habitat disappears adults spawn and lay eggs in the muddy bottom. Embryos survive encased in dry mud in a dormant state and hatch at the onset of the next rainy season to repeat the life cycle (Ref. 47810).
Notopterus notopterus,NA,guarders,clutch tenders,Spawning occurs at night (Ref. 1672).
Notothenia angustata,NA,NA,NA,NA
Notothenia coriiceps,NA,NA,NA,NA
Nuchequula nuchalis,NA,nonguarders,open water/substratum egg scatterers,NA
Odontesthes bonariensis,two seasonal peaks per year,nonguarders,open water/substratum egg scatterers,NA
Okamejei kenojei,"throughout the year, but peaking once",nonguarders,open water/substratum egg scatterers,"Oviparous, paired eggs are laid mainly at night (Ref. 44760).  Batches of eggs are laid in three to six-day interval on sand bottom. Embryos feed solely on yolk (Ref. 50449).  Distinct pairing with embrace.  Young may tend to follow large objects, such as their mother (Ref. 205)."
Oncorhynchus gorbuscha,once in a lifetime,nonguarders,brood hiders,"Adults develop secondary sexual characteristics during their upstream migration (Ref. 1998), which occurs any time from June to late September, depending on location (Ref. 27547).  Male develop a humpback, an enlarged head and large teeth on both jaws that form a pronounced hooked type (Ref. 59043).  The upstream run seems to be triggered by high water (Ref. 27547).  Female builds the redd by lying on one side and using its tail, it displaces silt and light gravel to produce a deep trough.  Male spends most of the time driving off intruding males. When the redd is completed, the female drops into it, followed immediately by the male. They open their mouths, vibrate and release eggs and sperm. In some cases, several males spawn with a single female. The eggs are then covered as the female digs a new redd at the upstream edge of the previous one. Adults live up to a few weeks after spawning before they die (Ref. 1998, 27547).  Reported to die 10-20 days after spawning (Ref. 59043). About 1200-1800 eggs are laid. After hatching and the yellow egg yolk is absorbed, if the hatchling doesn't have a parr mark they go to the ocean and come again to the same birthplace stream the next year during spring after growing for 16-18 months.  Survival rates are low, at 1-25% (taken from a Canadian river)  (Ref. 12218).  Reproductive strategy: synchronous ovarian organization, determinate fecundity (Ref. 51846)."
Oncorhynchus keta,once in a lifetime,nonguarders,brood hiders,"Enters freshwater during advanced stage of sexual development and spawning occurs almost immediately (Ref. 1998). Spawning occurs at depths of ~3 meters, current speeds of ~20cm/sec. near the head waters over sand and pebbles at 4-11° C water temperature. At spawning time the female excavates a hole of around 1 meter diameter and 50 cm depth before spawning can occur (Ref. 12218). Nest building is done by the female by lying on one side and lashing its tail to displace the sand and silt on the river bed. The pair then settles in the nest, mouths gape, and with rapid vibration of the pair, eggs and milt are released. The female then covers the nest. Males are aggressive and may spawn with different females; females likewise may spawn with other males and therefore builds different nests. Adults die after a week (Ref. 1998). A fish spawns 700-7,000 eggs in two to three egg releases. Eggs are ~300-3,500 per spawn. Egg size is ~6.7 mm,  water temp. is 8-10°C at 60 days before hatching.  Larva size is around 16 mm. Come springtime the juveniles go to the ocean and come back 3-4 years later to their exact birthplace. This fish reaches maturity in 2-4 years. Larvae are found around the spawning site, Juveniles are found around the coast. Juveniles migrate to the ocean at ~27-45 mm during February at water temperatures around 4° C (Ref. 12218).
Reproductive strategy: synchronous ovarian organization, determinate fecundity (Ref. 51846)."
Oncorhynchus kisutch,once in a lifetime,nonguarders,brood hiders,"Adults migrate from the sea or lake, school at mouths of rivers, and move upstream when rains increase river flow (Ref. 1998). As a rule, the winter entries (December and January) occur in the southern part of the range, with appearance in fresh water becoming progressively earlier to the north (Ref. 30381, 30382, 30383). At the spawning area, the female finds a spot and digs a pitt. At this point she is aggressive toward other females. While digging, an attendant male courts her or is busy driving away other males. As soon as the pitt is completed, the female drops into it and is immediately followed by the male. The pair are side by side, they open their mouth, quiver and release egg and sperm (Ref. 27547). At this point, other males move in and release sperm into the nest (Ref. 1998). The female quickly moves to the upstream edge of the nest and starts digging a new pitt, covering the eggs. The whole process is repeated for several days until the female deposits all her eggs. The male then leaves and may seek another female. The spent female usually continues to dig, until she dies (Ref. 27547).
Reproductive strategy: synchronous ovarian organization, determinate fecundity (Ref. 51846)."
Oncorhynchus masou,once in a lifetime,nonguarders,brood hiders,"Distinct pairing (Ref. 205). Reproductive strategy: synchronous ovarian organization, determinate fecundity (Ref. 51846)."
Oncorhynchus nerka,once in a lifetime,guarders,Brood hiders,"Adult sockeyes return to natal streams to spawn. This occurs during summer and fall and as late as December in the southern part of the range. The female selects a site, usually with gravel bottom, and digs a nest. During nest building, the female is attended by a dominant male and a few subordinate males. At this stage, females tend to be aggressive toward other females and subordinate males; males are aggressive toward other males. Between digging acts, the female will rest over the pit while the dominant male courts her. Once the nest is completed, the female enters the nest, followed immediately by the dominant male who comes close beside her. Their mouths gape, and the pair vibrates to release eggs and sperm. One or more subordinate males may come to the other side of the female and join in the spawning. The female then moves to the upstream edge of the nest and digs again, covering the old nest, at the same time creating a new one just upstream from the previous one. A female normally needs 3 to 5 days to deposit all her eggs and utilizes 3 to 5 nests for this purpose. She may spawn with several dominant males. A male may breed with several females. All adult sockeye die after spawning (Ref. 27547).
Reproductive strategy: synchronous ovarian organization, determinate fecundity (Ref. 51846)."
Oncorhynchus tshawytscha,once in a lifetime,guarders,nesters,"Adults migrate up to 4,827 km upstream to spawn (Ref. 6850). Migration from the sea begins in December so that the the first fish are near river mouths by spring (Ref. 27547). Once a female selects a spot, she begins to dig a nest, driving away other females during the period of nest building. The female is attended by a larger, dominant male and several smaller males who drive away other males. While the female digs the nest, the male courts her by coming to rest beside her and quivering; by swimming about over her, touching her dorsal fin with his body and fins; and occasionally nudging her side gently with his snout (Ref. 28978). Upon completion of the nest, the female drops into it and is immediately joined by the dominant male. The fish open their mouths, vibrate, and eggs and sperm are released. At this point smaller males may dart into the nest and release sperm. The female then quickly moves to the upstrem edge of the nest and begins to dig. The eggs are covered and a new nest is made. The whole process is repeated until the female releases all her eggs, which may take several days. The male then leaves the female and may mate with another female. The female guards the nest for as long as she can. Spent adults usually die a few days after spawning. (Ref. 1998, 27547).
Reproductive strategy: synchronous ovarian organization, determinate fecundity (Ref. 51846)."
Ophiodon elongatus,NA,guarders,nesters,Eggs are deposited in crevices or under rocks (Ref. 6885). Male guards the eggs until they hatch.
Oplegnathus fasciatus,NA,nonguarders,open water/substratum egg scatterers,NA
Opsanus beta,NA,guarders,nesters,NA
Opsanus tau,NA,guarders,nesters,NA
Opsariichthys uncirostris,one clear seasonal peak per year,nonguarders,open water/substratum egg scatterers,Spawn from June to August. Eggs are scattered over sand or gravel.
Oreochromis esculentus,no obvious seasonal peak,bearers,external brooders,"Reproduction probably triggered by the rains (Ref. 2771), with the time of maximum spawning activity coinciding with the wettest months of the year (Ref. 363).  Males form a crater-like spawning nest without a distinct wall (Ref. 27292).  The pit is about 30cm in diameter and 10cm deep, and is probably made in the early morning (Ref. 27292).  Ovaries show that a female may have a succession of three or more broods in a spawning period; brooding females often shelter in weed beds and swampy places (Ref. 2, 363).  Males defend their breeding territory (Ref. 2) for weeks or on and off for several months, while females only make short visits to the spawning grounds and leave the territory immediately after spawning (Ref. 363).  Males eat little while actively guarding the nest (Ref. 363).  Papyrus swamp channels (Ref. 363, 34921, 55020) and beaches with weed grown swamps (Ref. 34921) function as nursery areas.  Young become independent at a length of about 1.5cm (Ref. 2, 363)by which size the yolk sac is occluded and they have strated to feed (Ref. 363), and at about 12cm TL they move from the nursery areas to the open water (Ref. 2)."
Oreochromis mossambicus,no obvious seasonal peak,bearers,external brooders,"Spawns at the edge of the littoral terrace of lakes (Ref. 1, 2, 87, 6465), in sandy or muddy bottoms (Ref. 57425). Displays a lek mating system; territorial males establish breeding territories where they dig spawning pits, assume a dark coloration, defend a breeding territory and actively court females; sneaking males intrude into nests during a spawning episode, exhibiting quivering behavior which is usually an indicator of sperm release; sneaking is predominantly performed by subordinate males, which may adopt pseudo-female behavior (Ref. 57425). Only territorial males produce sounds, during all phases of courtship but especially during the late stages, including spawning (Ref. 49830). Territorial male excavates and defends a basin-shaped pit in the center of his territory, where female deposits 100-1700(1800) eggs (Ref. 44894, 52307). Eggs and milt are sucked up by the female (Ref. 2, 44894). Fertilization is reported to sometimes occur in the mouth of the female (Ref. 6028). Females incubate eggs alone (Ref. 12501, 52307). It is possible, albeit rare, that males take up some eggs after spawning (Ref. 2, 5726, 52307, 57895), but they almost always eat them soon after (Ref. 52307). Females school together while mouthbrooding (Ref. 40035), they cease to feed and subsist on food reserves stored in their body (Ref. 1). Females may spawn a full clutch with just one male, or may spawn with several different males in a series (Ref. 52307). Water is circulated over the eggs by chewing movements of the jaws (Ref. 12501, 12522). Fry hatch in the female's mouth after 3-5 days (Ref. 2, 12501, 12522, 44894, 52307), depending on the temperature (Ref. 52307). The young are released from the mouth in 10-14 days, but remain near the female and enter the mouth if threatened until about 3 weeks old (Ref. 2, 44894, 52307). Fry and juveniles shoal in shallow water (Ref. 6465, 7248, 57895) where they feed during the day, and retreat to deep water at night (Ref. 87, 6465). Females raise multiple broods during a season (Ref. 7248, 57895)."
Oreochromis niloticus,no obvious seasonal peak,bearers,external brooders,"Sexual maturity is reached at 3-6 months depending on temperature, reaching about 30 g. Reproduction occurs only when temperatures are over 20°C. Several yearly spawnings every 30 days. Females incubate eggs inside their mouths (approximately for a week) where larvae hatch and remain until the vitellus is reabsorved. Egg size 1.5 mm, larval length at hatching 4 mm.
Spawns in firm sand in water from 0.6 to 2 m deep of lakes (Ref. 2) and inshore waters (Ref. 55624). Males set up and defend territory which are visited by the females. Courtship lasts several hours.  A single male probably fertilises the eggs of more than one female (Ref. 55624). Eggs are shed in batches in shallow nest and fertilized by male. Each batch of eggs is picked up into oral cavity by female. Females solely involved in broodcare. Female carries up to 200 eggs in her mouth where the larvae hatch and remain until after the yolk-sac is absorbed."
Oreochromis spilurus,NA,bearers,external brooders,"Spawns in shallow water with shelving bottom in ponds. Size of first spawning depends on population density (lower at higher densities). Mating pit is the size and shape of a saucer. Eggs probably fertilized before being taken into the mouth by the female, or are fertilized inside the mouth (Ref. 2)."
Oreochromis variabilis,NA,bearers,external brooders,"Nests are built on sandy bottoms in shallow waters. Each nest consists of a central shallow saucer 13-15 cm in diameter, around which is a circle of small pits. This structure is the center of a larger pit, 30-39 cm in diameter. Breeding pair makes the T-stand. Female lays batches of eggs; picks them up and sucks at the male's genital tassel.  "
Oryzias latipes,no obvious seasonal peak,bearers,external brooders,Carries eggs for some time before deposition (Ref. 7471).  Oocytes mature at night followed by ovulation at dawn (Ref. 58942).
