"","Species","Order","Family","Genus","SV","presence","genome.assembly","ott_id","flags","tips","SV.not.in.figure","image.files","description","Source"
"205","Cyclothone atraria","Stomiiformes","Gonostomatidae","Cyclothone","1","present","",127379,"","Cyclothone atraria","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"206","Cynotilapia afra","Cichliformes","Cichlidae","Cynotilapia","1","present","",132192,"","Cynotilapia afra","","Cynotilapia_afra_image_ventral","","https://doi.org/10.1007/s10750-024-05531-4"
"207","Cyprinion macrostomum",NA,NA,NA,"1","present","",493927,"","Cyprinion macrostomum","","","described as ""small, pear-shaped""","doi:10.1159/000144902  https://sci-hub.se/10.1159/000144902"
"208","Dasyatis akajei",NA,NA,NA,"1","present","",225332,"sibling_higher","Dasyatis akajei","","","","https://doi.org/10.1023/A:1022509300758"
"209","Diplomystes mesembrinus",NA,NA,NA,"1","present","",536094,"","Diplomystes mesembrinus","","","""Saccus vasculosus is moderately developed
as a posteroventral projection of the diencephalon""","https://doi.org/10.11606/T.59.2014.tde-18122014-143500"
"210","Diplomystes mesembrinus",NA,NA,NA,"1","present","",536094,"","Diplomystes mesembrinus","","Diplomystes_mesembrinus_ventral_image","","https://sci-hub.se/10.1093/zoolinnean/zly011"
"211","Diplophos taenia","Stomiiformes","Gonostomatidae","Diplophos","1","present","",350314,"","Diplophos taenia","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"212","Distichodus affinis","Characiformes","Distichodontidae","Distichodus","1","present","",912276,"","Distichodus affinis","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"213","Eigenmannia virescens","Gymnotiformes","Sternopygidae","Eigenmannia","1","present","",437387,"","Eigenmannia virescens","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"214","Eleginops maclovinus","Perciformes/Notothenioidei","Eleginopidae","Eleginops","1","present","y",816883,"","Eleginops maclovinus","","","""bovichtids (Eastman and Lannoo, 2007) andEleginops have a relatively small saccus""","https://doi.org/10.1002/jmor.10571"
"215","Eleginops maclovinus","Perciformes/Notothenioidei","Eleginopidae","Eleginops","1","present","y",816883,"","Eleginops maclovinus","","","""In species with a small saccus, it is eitheraccommodated within the midline cleft be-tween the inferior lobes or adherent to themost caudal aspect of the inferior lobes. Ineither case, it is visible only when the brain isviewed from the ventral aspect.""","https://doi.org/10.1002/jmor.1052230107"
"216","Engraulis japonicus","Clupeiformes","Engraulidae","Engraulis","1","present","y",690902,"","Engraulis japonicus","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"217","Etroplus maculatus",NA,NA,NA,"1","present","",493427,"","Etroplus maculatus","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"218","Etrumeus teres",NA,NA,NA,"1","present","",681340,"","Etrumeus teres","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"219","Eutropiichthys vacha","Siluriformes","Schilbeidae","Eutropiichthys","1","present","",350498,"","Eutropiichthys vacha","","","","chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.fisheriesjournal.com/archives/2016/vol4issue6/PartB/4-5-49-307.pdf"
"220","Oreochromis",NA,NA,NA,"1","present","",336599,"","Oreochromis","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"221","Gasteropelecus sternicla","Characiformes","Gasteropelecidae","Gasteropelecus","1","present","",514221,"","Gasteropelecus sternicla","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"222","Gastromyzon borneensis","Cypriniformes","Gastromyzontidae","Gastromyzon","1","present","",3627855,"","Gastromyzon borneensis","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"223","Geophagus iporangensis","Cichliformes","Cichlidae","Geophagus","1","present","",3636359,"","Geophagus iporangensis","","Geophagus_iporangensis_image_ventral","","https://doi.org/10.1007/s10750-024-05531-4"
"224","Geophagus steindachneri","Cichliformes","Cichlidae","Geophagus","1","present","",87568,"","Geophagus steindachneri","","Geophagus_steindachneri_image_ventral","","https://doi.org/10.1007/s10750-024-05531-4"
"225","Geophagus sveni","Cichliformes","Cichlidae","Geophagus","1","present","",3636351,"","Geophagus sveni","","","","DOI:10.1007/s10750-024-05531-4"
"226","Geophagus sveni","Cichliformes","Cichlidae","Geophagus","1","present","",3636351,"","Geophagus sveni","","Geophagus_sveni_image_ventral","","https://doi.org/10.1007/s10750-024-05531-4"
"227","Glyptothorax pectinopterus","Siluriformes","Sisoridae","Glyptothorax","1","present","",3621869,"","Glyptothorax pectinopterus","","","","10.1111/j.1463-6395.1968.tb00151.x"
"228","Gnathopogon caerulescens","Cypriniformes","Gobionidae","Gnathopogon","1","present","",325187,"","Gnathopogon caerulescens","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"229","Gobionotothen gibberifrons","Perciformes/Notothenioidei","Nototheniidae","Gobionotothen","1","present","y",448828,"","Gobionotothen gibberifrons","","","""In species with a small saccus, it is eitheraccommodated within the midline cleft be-tween the inferior lobes or adherent to themost caudal aspect of the inferior lobes. Ineither case, it is visible only when the brain isviewed from the ventral aspect.""","https://doi.org/10.1002/jmor.1052230107"
"230","Goeldiella eques","Siluriformes","Heptapteridae","Goeldiella","1","present","",502078,"","Goeldiella eques","","","""In Heptapteridae, the saccus vasculosus is smaller than the pituitary gland. ""","https://doi.org/10.1093/zoolinnean/zly011"
"231","Sigmops gracilis","Stomiiformes","Gonostomatidae","Sigmops","1","present","",648959,"","Sigmops gracilis","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"232","Guianacara dacrya","Cichliformes","Cichlidae","Guianacara","1","present","",3636364,"","Guianacara dacrya","","Guianacara_dacrya_image_ventral","","https://doi.org/10.1007/s10750-024-05531-4"
"233","Gymnocephalus cernua","Perciformes/Percoidei","Percidae","Gymnocephalus","1","present","y",104323,"","Gymnocephalus cernua","","","""in others it is ovoid and does not reach the posterior edge of the lobes (Lates and Acerina)"" (translated)","https://books.google.ca/books?hl=en&lr=&id=7Lg3PBCmOrYC&oi=fnd&pg=PA1&dq=%22Acanthurus%22+AND+%22saccus+vasculosus%22&ots=a5FmofkAKr&sig=jZSIZXbhDdSTpnxJ9q3zaz5KNZU#v=onepage&q=saccus&f=false"
"234","Harpagifer georgianus","Perciformes/Notothenioidei","Harpagiferidae","Harpagifer","1","present","",350788,"","Harpagifer georgianus","","","""In species with a small saccus, it is eitheraccommodated within the midline cleft be-tween the inferior lobes or adherent to themost caudal aspect of the inferior lobes. Ineither case, it is visible only when the brain isviewed from the ventral aspect.""","https://doi.org/10.1002/jmor.1052230107"
"235","Hemibarbus barbus",NA,NA,NA,"1","present","",655295,"","Hemibarbus barbus","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"236","Hoplias malabaricus","Characiformes","Erythrinidae","Hoplias","1","present","y",179348,"","Hoplias malabaricus","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"237","Hypostomus plecostomus","Siluriformes","Loricariidae","Hypostomus","1","present","",96090,"","Hypostomus plecostomus","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"238","Ictalurus punctatus","Siluriformes","Ictaluridae","Ictalurus","1","present","y",701523,"","Ictalurus punctatus","","","","https://doi.org/10.2307/1447075"
"239","Idiacanthus antrostomus","Stomiiformes","Stomiidae","Idiacanthus","1","present","",890166,"","Idiacanthus antrostomus","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"240","Katsuwonus pelamis","Scombriformes","Scombridae","Katsuwonus","1","present","y",308754,"","Katsuwonus pelamis","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"241","Konosirus punctatus","Clupeiformes","Dorosomatidae","Konosirus","1","present","",39743,"","Konosirus punctatus","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"242","Kryptopterus bicirrhis","Siluriformes","Siluridae","Kryptopterus","1","present","",896070,"","Kryptopterus bicirrhis","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"243","Lepidonotothen larseni",NA,NA,NA,"1","present","y",969899,"","Lepidonotothen larseni","","","""In species with a small saccus, it is eitheraccommodated within the midline cleft be-tween the inferior lobes or adherent to themost caudal aspect of the inferior lobes. Ineither case, it is visible only when the brain isviewed from the ventral aspect.""","https://doi.org/10.1002/jmor.1052230107"
"244","Lestrolepis intermedia","Aulopiformes","Lestidiidae","Lestrolepis","1","present","",1057256,"","Lestrolepis intermedia","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"245","Leuciscus idus","Cypriniformes","Leuciscidae","Leuciscus","1","present","y",41137,"","Leuciscus idus","","","The vascular sac wedged between the mammillary bodies and the medial lobe is quite small.","https://publikacio.uni-eszterhazy.hu/1155/1/263-284_Bende.pdf"
"246","Leucopsarion petersii","Gobiiformes","Gobiidae","Leucopsarion","1","present","",331701,"","Leucopsarion petersii","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"247","Liza parsia",NA,NA,NA,"1","present","",728954,"","Liza parsia","","","","https://www.researchgate.net/profile/Sanjib-Bose/publication/344540318_MORPHOHISTOLOGICAL_ASPECTS_OF_THE_SACCUS_VASCULOSUS_IN_LIZA_PARSIA_HAM_FORM_THE_COASTAL_AREAS_OF_BAY_OF_BENGAL/links/6446426c8ac1946c7a48b33e/MORPHOHISTOLOGICAL-ASPECTS-OF-THE-SACCUS-VASCULOSUS-IN-LIZA-PARSIA-HAM-FORM-THE-COASTAL-AREAS-OF-BAY-OF-BENGAL.pdf (no doi)"
"248","Lophiosilurus alexandri","Siluriformes","Pseudopimelodidae","Lophiosilurus","1","present","",498407,"","Lophiosilurus alexandri","","Lophiosilurus_alexandri_ventral_image","","https://sci-hub.se/10.1093/zoolinnean/zly011"
"249","Luciogobius guttatus","Gobiiformes","Gobiidae","Luciogobius","1","present","",868320,"","Luciogobius guttatus","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"250","Mazarunia mazarunii","Cichliformes","Cichlidae","Mazarunia","1","present","",8413,"","Mazarunia mazarunii","","Mazarunia_mazarunii_image_ventral","","https://doi.org/10.1007/s10750-024-05531-4"
"251","Microglanis cottoides","Siluriformes","Pseudopimelodidae","Microglanis","1","present","",3624176,"","Microglanis cottoides","","Microglanis_cottoides_ventral_image","","https://sci-hub.se/10.1093/zoolinnean/zly011"
"252","Micropterus salmoides","Centrarchiformes","Centrarchidae","Micropterus","1","present","y",230493,"","Micropterus salmoides","","","","https://doi.org/10.3389/fendo.2024.1385575"
"253","Mugil cephalus","Mugiliformes","Mugilidae","Mugil","1","present","y",418648,"","Mugil cephalus","","Mugil_cephalus_image_sagittal_section_fig2","","10.21608/jcvr.2024.352736"
"254","Mylesinus paucisquamatus","Characiformes","Serrasalmidae","Mylesinus","1","present","",506578,"","Mylesinus paucisquamatus","","","""The Saccus vasculosus (Fig. 7 C) is poorly developed, small, circular and is visible in the posterior portion of the inferior lobus hypothalami."" (translated)","http://hdl.handle.net/11612/2926"
"255","Myleus torquatus",NA,NA,NA,"1","present","",3625318,"","Myleus torquatus","","","""The Saccus vasculosus is conspicuous, visible as an elliptical structure in M. torquatus (Fig. 8 C) and developed and longitudinally elongated in M. rubripinnis (Fig. 9 C)"" (translated)","http://hdl.handle.net/11612/2926"
"256","Neogobius melanostomus","Gobiiformes","Gobiidae","Neogobius","1","present","y",475633,"","Neogobius melanostomus","","","","https://doi.org/10.3390/genes10030219"
"257","Notothenia angustata","Perciformes/Notothenioidei","Nototheniidae","Notothenia","1","present","",781788,"","Notothenia angustata","","","""In species with a small saccus, it is eitheraccommodated within the midline cleft be-tween the inferior lobes or adherent to themost caudal aspect of the inferior lobes. Ineither case, it is visible only when the brain isviewed from the ventral aspect.""","https://doi.org/10.1002/jmor.1052230107"
"258","Odontobutis obscura",NA,NA,NA,"1","present","",599816,"","Odontobutis obscura","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"259","Ophthalmolycus amberensis","Perciformes/Zoarcoidei","Zoarcidae","Ophthalmolycus","1","present","y",31294,"","Ophthalmolycus amberensis","","Ophthalmolycus_amberensis_drawing_ventral_lateral_Fig2.png
Ophthalmolycus_amberensis_image_coronal_section_fig3E.png","""The saccus vasculosus is inconspicuous in lateral
view""","https://doi.org/10.1002/jmor.10391"
"260","Opsariichthys uncirostris","Cypriniformes","Xenocyprididae","Opsariichthys","1","present","",26746,"","Opsariichthys uncirostris","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"261","Parachaenichthys charcoti","Perciformes/Notothenioidei","Bathydraconidae","Parachaenichthys","1","present","",185362,"","Parachaenichthys charcoti","","",""" the saccus vasculosus is small""","doi.org/10.1002/jmor.10140"
"262","Paracheirodon innesi","Characiformes","Characidae","Paracheirodon","1","present","",783059,"","Paracheirodon innesi","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"263","Paranotothenia magellanica","Perciformes/Notothenioidei","Nototheniidae","Paranotothenia","1","present","",229704,"","Paranotothenia magellanica","","","""In species with a small saccus, it is eitheraccommodated within the midline cleft be-tween the inferior lobes or adherent to themost caudal aspect of the inferior lobes. Ineither case, it is visible only when the brain isviewed from the ventral aspect.""","https://doi.org/10.1002/jmor.1052230108"
"264","Patagonotothen ramsayi","Perciformes/Notothenioidei","Nototheniidae","Patagonotothen","1","present","",525441,"","Patagonotothen ramsayi","","","""In species with a small saccus, it is eitheraccommodated within the midline cleft be-tween the inferior lobes or adherent to themost caudal aspect of the inferior lobes. Ineither case, it is visible only when the brain isviewed from the ventral aspect.""","https://doi.org/10.1002/jmor.1052230107"
"265","Perca fluviatilis","Perciformes/Percoidei","Percidae","Perca","1","present","y",186488,"","Perca fluviatilis","","","""in others it has the same relative length but is narrower at the front and compressed between the lobes (Perca and Serranus)""","https://books.google.ca/books?hl=en&lr=&id=7Lg3PBCmOrYC&oi=fnd&pg=PA1&dq=%22Acanthurus%22+AND+%22saccus+vasculosus%22&ots=a5FmofkAKr&sig=jZSIZXbhDdSTpnxJ9q3zaz5KNZU#v=onepage&q=saccus&f=false"
"266","Percalates colonorum","Centrarchiformes","Percalatidae","Percalates","1","present","y",538644,"","Percalates colonorum","","","""in others it is ovoid and does not reach the posterior edge of the lobes (Lates and Acerina)"" (translated)","https://books.google.ca/books?hl=en&lr=&id=7Lg3PBCmOrYC&oi=fnd&pg=PA1&dq=%22Acanthurus%22+AND+%22saccus+vasculosus%22&ots=a5FmofkAKr&sig=jZSIZXbhDdSTpnxJ9q3zaz5KNZU#v=onepage&q=saccus&f=false"
"267","Periophthalmus nov",NA,NA,NA,"1","present","",7651176,"","Periophthalmus nov","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"268","Phenacogrammus interruptus","Characiformes","Alestidae","Phenacogrammus","1","present","y",259776,"","Phenacogrammus interruptus","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"269","Plecoglossus altivelis","Osmeriformes","Plecoglossidae","Plecoglossus","1","present","y",486933,"","Plecoglossus altivelis","","","","https://doi.org/10.1679/aohc.59.137"
"270","Pseudaphritis urvillii","Perciformes/Notothenioidei","Pseudaphritidae","Pseudaphritis","1","present","y",292713,"","Pseudaphritis urvillii","","","""In species with a small saccus, it is eitheraccommodated within the midline cleft be-tween the inferior lobes or adherent to themost caudal aspect of the inferior lobes. Ineither case, it is visible only when the brain isviewed from the ventral aspect.""","https://doi.org/10.1002/jmor.1052230107"
"271","Pseudogobio esocinus","Cypriniformes","Gobionidae","Pseudogobio","1","present","",424407,"","Pseudogobio esocinus","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"272","Pseudopimelodus mangurus","Siluriformes","Pseudopimelodidae","Pseudopimelodus","1","present","",61478,"","Pseudopimelodus mangurus","","Pseudopimelodus_mangurus_ventral_image","","https://sci-hub.se/10.1093/zoolinnean/zly011"
"273","Pseudorasbora parva","Cypriniformes","Gobionidae","Pseudorasbora","1","present","y",205442,"","Pseudorasbora parva","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"274","Pungtungia herzi","Cypriniformes","Gobionidae","Pungtungia","1","present","",523420,"","Pungtungia herzi","","","""Among the studied Cypriniformes, the saccus vasculosus is either small  (Pungtungia and Zacco) ""","chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.jstage.jst.go.jp/article/jji1950/33/1/33_1_27/_pdf/-char/ja"
"275","Pungtungia herzi","Cypriniformes","Gobionidae","Pungtungia","1","present","",523420,"","Pungtungia herzi","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"276","Pygocentrus piraya","Characiformes","Serrasalmidae","Pygocentrus","1","present","",900299,"","Pygocentrus piraya","","","""The Saccus vasculosus (Fig. 11 C and Fig. 12 C) is moderately developed as an ovoid structure in the posterior portion of Hypothalamus, occupying a small part between the Lobus inferior hypothalami in P. nattereri and P. piraya."" (translated)","http://hdl.handle.net/11612/2926"
"277","Pygocentrus nattereri","Characiformes","Serrasalmidae","Pygocentrus","1","present","y",649803,"","Pygocentrus nattereri","","","""The Saccus vasculosus (Fig. 11 C and Fig. 12 C) is moderately developed as an ovoid structure in the posterior portion of Hypothalamus, occupying a small part between the Lobus inferior hypothalami in P. nattereri and P. piraya."" (translated)","http://hdl.handle.net/11612/2926"
"278","Racovitzia glacialis","Perciformes/Notothenioidei","Bathydraconidae","Racovitzia","1","present","",217712,"","Racovitzia glacialis","","","""The saccus vasculosus is average-sized""","doi.org/10.1002/jmor.10140"
"279","Rhinogobius brunneus","Gobiiformes","Gobiidae","Rhinogobius","1","present","",238894,"","Rhinogobius brunneus","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"280","Rhinogobius flumineus","Gobiiformes","Gobiidae","Rhinogobius","1","present","",518755,"","Rhinogobius flumineus","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"281","Salangichthys microdon","Osmeriformes","Salangidae","Salangichthys","1","present","",348842,"","Salangichthys microdon","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"282","Salmo salar","Salmoniformes","Salmonidae","Salmo","1","present","y",688328,"","Salmo salar","","Salmo_salar_lateral_drawing_fig2","","https://hdl.handle.net/1956/18734"
"283","Sarcocheilichthys variegatus","Cypriniformes","Gobionidae","Sarcocheilichthys","1","present","",333930,"","Sarcocheilichthys variegatus","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"284","Sardinella zunasi","Clupeiformes","Dorosomatidae","Sardinella","1","present","",39728,"","Sardinella zunasi","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"285","Sardinops melanostictus",NA,NA,NA,"1","present","",318896,"","Sardinops melanostictus","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"286","Satanoperca acuticeps","Cichliformes","Cichlidae","Satanoperca","1","present","",784676,"","Satanoperca acuticeps","","Satanoperca_acuticeps_image_ventral","","https://doi.org/10.1007/s10750-024-05531-4"
"287","Ischikauia steenackeri","Cypriniformes","Xenocyprididae","Ischikauia","1","present","",84197,"","Ischikauia steenackeri","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"288","Silurus asotus","Siluriformes","Siluridae","Silurus","1","present","y",967323,"","Silurus asotus","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"289","Steindachnerina brevipinna","Characiformes","Curimatidae","Steindachnerina","1","present","",3624501,"","Steindachnerina brevipinna","","","""the Saccus vasculosus is poorly developed,
located in the posterior portion of the diencephalon between the Lobus inferior hypothalami and the Truncus
encephalli""","https://doi.org/10.11606/T.59.2014.tde-18122014-143500"
"290","Synodontis nigriventris","Siluriformes","Mochokidae","Synodontis","1","present","",315243,"","Synodontis nigriventris","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"291","Takifugu alboplumbeus","Tetraodontiformes","Tetraodontidae","Takifugu","1","present","",465414,"","Takifugu alboplumbeus","","Takiugu_niphobles_drawing_lateral_ventral_fig1","","https://doi.org/10.11369/jji1950.5.175"
"292","Tridentiger obscurus","Gobiiformes","Gobiidae","Tridentiger","1","present","",98404,"","Tridentiger obscurus","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"293","Vinciguerria nimbaria","Stomiiformes","Phosichthyidae","Vinciguerria","1","present","",652358,"","Vinciguerria nimbaria","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"294","Vomeridens infuscipinnis","Perciformes/Notothenioidei","Bathydraconidae","Vomeridens","1","present","y",280419,"","Vomeridens infuscipinnis","","","""the saccus vasculosus is average""","doi.org/10.1002/jmor.10140"
"295","Zacco platypus","Cypriniformes","Xenocyprididae","Zacco","1","present","y",652452,"","Zacco platypus","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"296","Nipponocypris temminckii","Cypriniformes","Xenocyprididae","Nipponocypris","1","present","",361232,"","Nipponocypris temminckii","","","""Among the studied Cypriniformes, the saccus vasculosus is either small  (Pungtungia and Zacco) ""","chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.jstage.jst.go.jp/article/jji1950/33/1/33_1_27/_pdf/-char/ja"
"297","Nipponocypris temminckii","Cypriniformes","Xenocyprididae","Nipponocypris","1","present","",361232,"","Nipponocypris temminckii","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"298","Acanthogobius flavimanus","Gobiiformes","Gobiidae","Acanthogobius","1.5","present","",705150,"","Acanthogobius flavimanus","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"299","Acestrorhynchus altus","Characiformes","Acestrorhynchidae","Acestrorhynchus","1.5","present","",845247,"","Acestrorhynchus altus","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"300","Acipenser ruthenus","Acipenseriformes","Acipenseridae","Acipenser","1.5","present","y",378930,"","Acipenser ruthenus","","","","https://doi.org/10.1111/j.1463-6395.1973.tb00461.x"
"301","Bunocephalus coracoideus","Siluriformes","Aspredinidae","Bunocephalus","1.5","present","",693715,"","Bunocephalus coracoideus","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"302","Catoprion mento","Characiformes","Serrasalmidae","Catoprion","1.5","present","",597343,"","Catoprion mento","","","""The Saccus vasculosus (Fig. 2 C) is moderately developed as a semi-ovate conformation"" (translated)","http://hdl.handle.net/11612/2926"
"303","Catoprion mento","Characiformes","Serrasalmidae","Catoprion","1.5","present","",597343,"","Catoprion mento","","","""the Saccus vasculosus is moderately
developed as a semi-spherical structure ""","https://doi.org/10.11606/T.59.2014.tde-18122014-143500"
"304","Chilodus punctatus","Characiformes","Chilodontidae","Chilodus","1.5","present","",442783,"","Chilodus punctatus","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"305","Glossogobius olivaceus","Gobiiformes","Gobiidae","Glossogobius","1.5","present","",80171,"","Glossogobius olivaceus","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"306","Gyrinocheilus aymonieri","Cypriniformes","Gyrinocheilidae","Gyrinocheilus","1.5","present","",341392,"","Gyrinocheilus aymonieri","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"307","Hippocampus coronatus","Syngnathiformes","Syngnathidae","Hippocampus","1.5","present","",503882,"","Hippocampus coronatus","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"308","Macrognathus aculeatus","Synbranchiformes","Mastacembelidae","Macrognathus","1.5","present","",758692,"","Macrognathus aculeatus","","","""The data
presented in paper showed that the saccus is smaller in
size in M. aculeatum as compared to the brain size.
Van de Kamer (1977) noticed rich vascular supply and
interpreted saccus vasculosus as a gland of brain and
assigned a secretory role of unknown function"" ""During the present investigation similarly well developed
saccus vasculosus has been found in M. aculeatum
though the saccus is moderately vascularized.""","https://doi.org/10.1007/s12595-009-0016-2"
"309","Malapterurus electricus","Siluriformes","Malapteruridae","Malapterurus","1.5","present","",566351,"","Malapterurus electricus","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"310","Mastacembelus erythrotaenia","Synbranchiformes","Mastacembelidae","Mastacembelus","1.5","present","",633395,"","Mastacembelus erythrotaenia","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"311","Metynnis hypsauchen","Characiformes","Serrasalmidae","Metynnis","1.5","present","",506575,"","Metynnis hypsauchen","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"312","Plotosus lineatus","Siluriformes","Plotosidae","Plotosus","1.5","present","y",949069,"","Plotosus lineatus","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"313","Tridentiger trigonocephalus","Gobiiformes","Gobiidae","Tridentiger","1.5","present","",98400,"","Tridentiger trigonocephalus","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"314","Abudefduf abdominalis","Ovalentaria/misc","Pomacentridae","Abudefduf","3","present","",809329,"incertae_sedis_inherited","Abudefduf abdominalis","","Abudefduf_abdominalis_drawing_cross_section_fig2G.png","","https://doi.org/10.1016/j.ygcen.2008.11.018"
"315","Acanthopagrus schlegelii","Eupercaria/misc","Sparidae","Acanthopagrus","3","present","",380194,"","Acanthopagrus schlegelii","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"316","Acaronia nassa","Cichliformes","Cichlidae","Acaronia","3","present","",170137,"","Acaronia nassa","","Acaronia_nassa_image_ventral","","https://doi.org/10.1007/s10750-024-05531-4"
"317","Acestrorhynchus falcatus","Characiformes","Acestrorhynchidae","Acestrorhynchus","3","present","",845253,"","Acestrorhynchus falcatus","","","","https://doi.org/10.11606/T.59.2014.tde-18122014-143500"
"318","Acipenser baerii","Acipenseriformes","Acipenseridae","Acipenser","3","present","",518827,"","Acipenser baerii","","","","https://doi.org/10.1007/978-3-319-61664-3_13"
"319","Acipenser baerii","Acipenseriformes","Acipenseridae","Acipenser","3","present","",518827,"","Acipenser baerii","","","""The saccus vasculosus (SV) of Acipenser has cholinergic CSF-contacting cells that give rise to a conspicuous tract of the saccus vasculosus.""","https://doi.org/10.1002/1096-9861(20001030)426:4<602::AID-CNE8>3.0.CO;2-7"
"320","Acipenser fulvescens","Acipenseriformes","Acipenseridae","Acipenser","3","present","",698270,"","Acipenser fulvescens","","","","https://doi.org/10.1159/000143034"
"321","Acipenser ruthenus","Acipenseriformes","Acipenseridae","Acipenser","3","present","y",378930,"","Acipenser ruthenus","","","","https://doi.org/10.1002/cne.25249"
"322","Acnodon normani","Characiformes","Serrasalmidae","Acnodon","3","present","",179103,"","Acnodon normani","","","""Saccus vasculosus (Fig. 1 C) is moderately developed and longitudinally elongated"" (translated)","http://hdl.handle.net/11612/2926"
"323","Acnodon normani","Characiformes","Serrasalmidae","Acnodon","3","present","",179103,"","Acnodon normani","","","""the Saccus vasculosus is well developed, elongated
longitudinally, between the two halves of the Lobus inferior hypothalami""","https://doi.org/10.11606/T.59.2014.tde-18122014-143500"
"324","Aeoliscus strigatus","Syngnathiformes","Centriscidae","Aeoliscus","3","present","y",652346,"incertae_sedis_inherited","Aeoliscus strigatus","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"325","Agamyxis pectinifrons","Siluriformes","Doradidae","Agamyxis","3","present","",50909,"","Agamyxis pectinifrons","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"326","Akarotaxis nudiceps","Perciformes/Notothenioidei","Bathydraconidae","Akarotaxis","3","present","y",682053,"","Akarotaxis nudiceps","","","""The inferior lobes are large, as is the saccus vasculosus.""","doi.org/10.1002/jmor.10140"
"327","Allenbatrachus grunniens","Batrachoidiformes","Batrachoididae","Allenbatrachus","3","present","",706464,"","Allenbatrachus grunniens","","Allenbatrachus_grunniens_sagittal_section","","https://li01.tci-thaijo.org/index.php/anres/article/view/259087"
